FIRST_LINE,INFECTION_DURATION_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.7,0.25,2.542465753,6.589041096,9.065753425
0,0.7,0.25,2.194520548,7.221917808,9.991780822
0,0.7,0.25,2.62739726,7.298630137,10.04109589
0,0.7,0.25,2.353424658,6.750684932,9.15890411
0,0.7,0.25,2.630136986,6.824657534,9.35890411
0,0.7,0.25,2.547945205,8.002739726,10.74794521
0,0.7,0.25,3.117808219,7.391780822,9.630136986
0,0.7,0.25,2.854794521,7.082191781,9.424657534
0,0.7,0.25,2.750684932,7.865753425,10.11780822
0,0.7,0.25,2.265753425,6.487671233,8.860273973
0,0.7,0.25,2.416438356,7.279452055,10.44931507
0,0.7,0.25,2.276712329,6.364383562,9.44109589
0,0.7,0.25,2.783561644,7.578082192,10.16438356
0,0.7,0.25,2.454794521,7.402739726,10.25753425
0,0.7,0.25,1.857534247,6.717808219,9.78630137
0,0.7,0.25,2.304109589,7.238356164,10.21643836
0,0.7,0.25,2.64109589,8.232876712,10.6739726
0,0.7,0.25,2.75890411,7.230136986,9.791780822
0,0.7,0.25,2.271232877,6.816438356,10.21917808
0,0.7,0.25,2.542465753,7.432876712,10.04109589
0,0.7,0.25,2.819178082,6.871232877,9.556164384
0,0.7,0.25,3.057534247,7.194520548,9.742465753
0,0.7,0.25,2.043835616,6.57260274,9.208219178
0,0.7,0.25,3.301369863,7.545205479,10.13972603
0,0.7,0.25,1.816438356,6.495890411,8.964383562
0,0.7,0.25,2.619178082,7.520547945,10.65753425
0,0.7,0.25,2.953424658,7.38630137,9.832876712
0,0.7,0.25,2.295890411,6.476712329,9.479452055
0,0.7,0.25,2.561643836,8.693150685,11.22191781
0,0.7,0.25,1.764383562,6.095890411,9.087671233
0,0.7,0.25,2.071232877,6.383561644,8.430136986
0,0.7,0.25,2.219178082,7.402739726,10
0,0.7,0.25,2.646575342,7.24109589,10.23561644
0,0.7,0.25,3.189041096,7.652054795,10.4739726
0,0.7,0.25,3.649315068,9.098630137,11.43013699
0,0.7,0.25,1.969863014,6.320547945,8.876712329
0,0.7,0.25,2.750684932,7.243835616,9.997260274
0,0.7,0.25,3.254794521,7.835616438,10.58356164
0,0.7,0.25,3.254794521,8.657534247,10.89041096
0,0.7,0.25,3.846575342,8.290410959,10.72328767
0,0.7,0.25,2.547945205,6.490410959,9.139726027
0,0.7,0.25,2.701369863,7.230136986,9.394520548
0,0.7,0.5,1.668493151,6.821917808,9.635616438
0,0.7,0.5,2.109589041,6.873972603,9.276712329
0,0.7,0.5,1.501369863,4.920547945,7.810958904
0,0.7,0.5,1.578082192,6.676712329,9.515068493
0,0.7,0.5,1.465753425,6.578082192,9.221917808
0,0.7,0.5,1.663013699,6.230136986,9.090410959
0,0.7,0.5,1.936986301,6.071232877,8.37260274
0,0.7,0.5,1.57260274,5.353424658,7.917808219
0,0.7,0.5,2.073972603,6.58630137,9.369863014
0,0.7,0.5,1.315068493,5.476712329,8.090410959
0,0.7,0.5,1.928767123,6.58630137,9.323287671
0,0.7,0.5,1.695890411,5.561643836,7.805479452
0,0.7,0.5,1.81369863,6.04109589,8.690410959
0,0.7,0.5,1.778082192,6.164383562,9.205479452
0,0.7,0.5,2.073972603,6.994520548,9.575342466
0,0.7,0.5,1.276712329,6.208219178,8.663013699
0,0.7,0.5,1.476712329,5.063013699,7.569863014
0,0.7,0.5,1.967123288,6.561643836,9.550684932
0,0.7,0.5,1.97260274,6.260273973,9.016438356
0,0.7,0.5,1.564383562,5.791780822,8.315068493
0,0.7,0.5,1.164383562,5.583561644,7.923287671
0,0.7,0.5,1.660273973,6.408219178,8.545205479
0,0.7,0.5,1.97260274,6.449315068,8.849315068
0,0.7,0.5,2.189041096,6.547945205,8.991780822
0,0.7,0.5,2.334246575,7.728767123,10.54520548
0,0.7,0.5,1.471232877,5.589041096,8.205479452
0,0.7,0.5,1.682191781,5.630136986,8.512328767
0,0.7,0.5,2.473972603,6.545205479,9.706849315
0,0.7,0.5,1.61369863,6.35890411,9.01369863
0,0.7,0.5,1.731506849,5.41369863,8.208219178
0,0.7,0.5,1.268493151,5.805479452,8.452054795
0,0.7,0.5,2.038356164,7.032876712,9.939726027
0,0.7,0.5,1.64109589,5.967123288,9.046575342
0,0.7,0.5,1.490410959,5.830136986,8.643835616
0,0.7,0.5,2.709589041,6.838356164,9.498630137
0,0.7,0.5,2.073972603,7.323287671,10.42739726
0,0.7,0.5,1.876712329,5.964383562,8.723287671
0,0.7,0.5,1.421917808,5.438356164,8.21369863
0,0.7,0.5,2.063013699,6.446575342,9.408219178
0,0.7,0.5,1.298630137,5.77260274,8.397260274
0,0.7,0.5,2.17260274,7.287671233,9.939726027
