FIRST_LINE,DRUG_EFF_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.85,0.01,8.123287671,15.2630137,18.41369863
0,0.85,0.01,9.898630137,16.62739726,19.18630137
0,0.85,0.01,10.05753425,17.81643836,20.50410959
0,0.85,0.01,8.917808219,14.71506849,18.04657534
0,0.85,0.01,6.509589041,16.54520548,19.47123288
0,0.85,0.01,11.81643836,17.19452055,19.90684932
0,0.85,0.01,7.024657534,15.38630137,18.3260274
0,0.85,0.01,5.610958904,12.21369863,15.33150685
0,0.85,0.01,6.715068493,14.71780822,18.05753425
0,0.85,0.01,7.75890411,13.8,16.76712329
0,0.85,0.01,10.05479452,15.16712329,18.28219178
0,0.85,0.01,9.410958904,15.30136986,18.54794521
0,0.85,0.01,3.082191781,9.890410959,13.28219178
0,0.85,0.01,8.580821918,17.23835616,20.78356164
0,0.85,0.01,6.912328767,13.07123288,15.87671233
0,0.85,0.01,8.816438356,15.14246575,18.17534247
0,0.85,0.01,7.821917808,13.89041096,16.85479452
0,0.85,0.01,8.087671233,14.06575342,16.66575342
0,0.85,0.01,8.915068493,17.04383562,19.76986301
0,0.85,0.01,4.501369863,9.797260274,13.31780822
0,0.85,0.01,5.112328767,10.65753425,13.25205479
0,0.85,0.01,8.084931507,13.64931507,16.99178082
0,0.85,0.01,7.4,15.53150685,17.85753425
0,0.85,0.01,13.50958904,20.38356164,23.28493151
0,0.85,0.01,2.635616438,8.753424658,11.83287671
0,0.85,0.01,12.07945205,18.69863014,21.92054795
0,0.85,0.01,10.96164384,18.37808219,21.55890411
0,0.85,0.01,5.410958904,11.46575342,14.40273973
0,0.85,0.01,5.78630137,12.50958904,15.44657534
0,0.85,0.01,6.076712329,15.66849315,18.67945205
0,0.85,0.01,6.556164384,14.2,17.24383562
0,0.85,0.01,7.087671233,13.10958904,16.67671233
0,0.85,0.01,5.953424658,13.12328767,16.1260274
0,0.85,0.01,7.6,13.63013699,17.08219178
0,0.85,0.01,7.471232877,13.17808219,15.93424658
0,0.85,0.01,10.81917808,17.5369863,20.55616438
0,0.85,0.01,8.654794521,14.32328767,17.1369863
0,0.85,0.1,4.18630137,9.62739726,12.55890411
0,0.85,0.1,3.852054795,9.531506849,12.26027397
0,0.85,0.1,4.043835616,9.098630137,12.38082192
0,0.85,0.1,3.619178082,9.969863014,13.50410959
0,0.85,0.1,4.939726027,11.75068493,15.13150685
0,0.85,0.1,4.997260274,11.73424658,15.24109589
0,0.85,0.1,5.58630137,10.65479452,14.19452055
0,0.85,0.1,3.471232877,8.375342466,11.62191781
0,0.85,0.1,2.728767123,9.42739726,12.67123288
0,0.85,0.1,3.093150685,9.55890411,12.86849315
0,0.85,0.1,3.405479452,10.22191781,13.1260274
0,0.85,0.1,4.701369863,10.94246575,13.30136986
0,0.85,0.1,2.906849315,9.57260274,12.77808219
0,0.85,0.1,3.317808219,8.769863014,12.13150685
0,0.85,0.1,5.62739726,11.1369863,14.16986301
0,0.85,0.1,3.005479452,9.049315068,11.82465753
0,0.85,0.1,4.991780822,10.56712329,13.83287671
0,0.85,0.1,3.802739726,9.271232877,12.20273973
0,0.85,0.1,2.997260274,9.487671233,12.91780822
0,0.85,0.1,5.797260274,11.13424658,14.02465753
0,0.85,0.1,4.665753425,10.84383562,14.0739726
0,0.85,0.1,4.134246575,10.78356164,13.47123288
0,0.85,0.1,4.142465753,10.06575342,13.72054795
0,0.85,0.1,3.739726027,9.520547945,12.10410959
0,0.85,0.1,3.208219178,10.02191781,12.87123288
0,0.85,0.1,4.578082192,10.82739726,13.86575342
