FIRST_LINE,CR_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,0.9,0.25,3.583561644,10.05479452,13.41643836
0,0.9,0.25,3.534246575,9.602739726,12.8109589
0,0.9,0.25,2.619178082,7.591780822,10.9260274
0,0.9,0.25,2.78630137,8.260273973,11.48493151
0,0.9,0.25,3.257534247,9.356164384,12.97808219
0,0.9,0.25,1.879452055,7.928767123,10.97534247
0,0.9,0.25,4.389041096,9.350684932,13.01369863
0,0.9,0.25,2.523287671,8.430136986,11.95068493
0,0.9,0.25,2.928767123,8.167123288,11.40273973
0,0.9,0.25,3.331506849,10.22191781,13.39726027
0,0.9,0.25,3.454794521,8.783561644,11.70958904
0,0.9,0.25,2.589041096,7.682191781,10.89041096
0,0.9,0.25,2.547945205,8.873972603,12.38082192
0,0.9,0.25,4.139726027,10.01917808,13.09315068
0,0.9,0.25,3,10.88219178,13.96986301
0,0.9,0.25,3.347945205,7.964383562,11.01643836
0,0.9,0.25,4.410958904,11.0630137,14.6739726
0,0.9,0.25,2.405479452,8.046575342,11.3890411
0,0.9,0.25,3.043835616,8.630136986,11.51232877
0,0.9,0.25,4.035616438,9.717808219,12.80547945
0,0.9,0.25,3.463013699,9.62739726,13.19452055
0,0.9,0.25,3.901369863,9.717808219,13.08767123
0,0.9,0.25,3.630136986,8.62739726,12.14520548
0,0.9,0.25,3.326027397,8.794520548,12.04383562
0,0.9,0.25,2.210958904,7.920547945,11.27671233
0,0.9,0.25,2.693150685,9.065753425,12.24109589
0,0.9,0.25,4.449315068,12.43561644,16.13972603
0,0.9,0.25,3.290410959,9.010958904,11.90410959
0,0.9,0.25,4.306849315,9.567123288,12.79452055
0,0.9,0.5,2.202739726,7.931506849,11.24657534
0,0.9,0.5,1.690410959,7.246575342,10.10684932
0,0.9,0.5,2.915068493,7.821917808,11.64383562
0,0.9,0.5,2.079452055,6.871232877,10.46575342
0,0.9,0.5,2.24109589,6.912328767,10.05205479
0,0.9,0.5,2.389041096,8.402739726,11.23561644
0,0.9,0.5,2.219178082,7.915068493,11.39452055
0,0.9,0.5,1.457534247,6.778082192,9.923287671
0,0.9,0.5,2.334246575,6.964383562,9.997260274
0,0.9,0.5,2.594520548,8.345205479,11.62191781
0,0.9,0.5,1.884931507,7.169863014,9.964383562
0,0.9,0.5,2.279452055,6.602739726,9.695890411
0,0.9,0.5,1.575342466,6.068493151,9.383561644
0,0.9,0.5,2.22739726,8.419178082,12.35616438
0,0.9,0.5,2.169863014,8.128767123,11.23835616
0,0.9,0.5,1.37260274,6.898630137,10.26027397
0,0.9,0.5,1.942465753,7.789041096,11.41369863
0,0.9,0.5,1.895890411,6.704109589,9.676712329
0,0.9,0.5,1.895890411,7.402739726,11.17260274
0,0.9,0.5,1.824657534,7.312328767,10.87945205
0,0.9,0.5,2.526027397,7.569863014,10.46849315
0,0.9,0.5,2.109589041,8.068493151,11.83561644
0,0.9,0.5,2.164383562,8.232876712,11.54794521
0,0.9,0.5,1.35890411,7.616438356,11.22465753
0,0.9,0.5,2.068493151,7.038356164,10.01369863
0,0.9,0.5,2.008219178,7.147945205,10.49315068
0,0.9,0.5,3.090410959,7.298630137,10.87945205
0,0.9,0.5,1.81369863,7.635616438,11.35616438
0,0.9,0.5,2.397260274,7.191780822,10.3369863
0,0.9,0.5,2.071232877,7.934246575,11.13972603
0,0.9,0.5,2.42739726,8.202739726,10.76164384
0,0.9,0.5,1.942465753,8.476712329,12.36986301
0,0.9,0.5,2.145205479,7.808219178,11.05753425
0,0.9,0.5,2.41369863,7.863013699,11.3890411
0,0.9,0.5,2.032876712,7.706849315,10.4
0,0.9,0.5,1.750684932,6.98630137,10.09041096
0,0.9,0.5,2.879452055,7.684931507,11.36164384
0,0.9,0.5,2.309589041,8.495890411,12.03561644
0,0.9,0.5,3.882191781,9.736986301,12.83835616
0,0.9,0.5,2.161643836,7.550684932,11.32054795
0,0.9,0.5,2.320547945,7.463013699,10.27671233
0,0.9,0.5,1.920547945,7.167123288,11.39178082
0,0.9,0.5,1.717808219,6.904109589,10.41643836
0,0.9,0.5,1.473972603,6.764383562,9.797260274
0,0.9,0.5,1.443835616,6.665753425,10.1260274
0,0.9,0.5,2.578082192,7.778082192,10.8739726
0,0.9,0.5,2.830136986,8.97260274,12.45205479
