FIRST_LINE,CLINICAL_MULTIPLY_FACTOR,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y
0,1.15,0.5,1.876712329,6.964383562,10.24109589
0,1.15,0.5,1.821917808,6.391780822,9.063013699
0,1.15,0.5,1.734246575,5.939726027,9.043835616
0,1.15,0.5,1.709589041,6.536986301,9.323287671
0,1.15,0.5,2.364383562,6.517808219,9.032876712
0,1.15,0.5,1.728767123,5.923287671,8.750684932
0,1.15,0.5,1.693150685,6.556164384,9.728767123
0,1.15,0.5,1.734246575,6.643835616,9.794520548
0,1.15,0.5,2.44109589,7.030136986,9.769863014
0,1.15,0.5,1.605479452,6.926027397,9.728767123
0,1.15,0.5,2.120547945,6.189041096,9.049315068
0,1.15,0.5,1.463013699,6.57260274,9.42739726
0,1.15,0.5,2.542465753,7.649315068,10.56712329
0,1.15,0.5,1.77260274,5.775342466,8.624657534
0,1.15,0.5,1.942465753,6.432876712,9.528767123
0,1.15,0.5,1.989041096,7.610958904,10.90410959
0,1.15,0.5,1.778082192,6.591780822,9.249315068
0,1.15,0.5,1.871232877,6.616438356,9.82739726
0,1.15,0.5,1.868493151,6.276712329,9.191780822
0,1.15,0.5,1.871232877,7.128767123,10.43013699
0,1.1,0,10.73424658,19.4739726,22.56986301
0,1.1,0,6.238356164,13.68219178,16.47123288
0,1.1,0,9.002739726,14.08219178,16.63561644
0,1.1,0,7.978082192,14.38630137,17.26849315
0,1.1,0,6.309589041,12.90136986,15.70136986
0,1.1,0,7.802739726,12.47945205,14.93424658
0,1.1,0,8.202739726,17.23835616,19.95890411
0,1.1,0,6.646575342,11.27945205,13.95616438
0,1.1,0,10.68493151,19.06027397,22.19726027
0,1.1,0,12.45205479,16.88219178,19.55068493
0,1.1,0,10.46575342,16.52328767,19.58082192
0,1.1,0,11.50684932,16.63561644,19.41643836
0,1.1,0,9.142465753,18.10136986,20.64383562
0,1.1,0,12.45479452,18.0630137,20.64109589
0,1.1,0,9.649315068,16.65479452,19.28219178
0,1.1,0,9.257534247,14.8,17.69589041
0,1.1,0,14.80273973,21.3369863,24.08493151
0,1.1,0,13.30410959,20.46575342,23.15890411
0,1.1,0,11.28219178,18.27671233,21.0630137
0,1.1,0,12.29041096,18.45479452,21.48219178
0,1.1,0,6.145205479,12.94246575,15.38630137
0,1.1,0,10.40273973,18.02191781,20.38082192
0,1.1,0,16.19178082,21.75616438,24.47671233
0,1.1,0,10.17260274,16.22739726,19.15068493
0,1.1,0,9.169863014,16.62191781,19.74520548
0,1.1,0,15.18630137,22,24.79726027
0,1.1,0,13.83013699,20.06575342,22.74246575
0,1.1,0,13.4,20.85479452,23.63013699
0,1.1,0,6.336986301,11.93424658,14.76986301
0,1.1,0,11.60547945,17.79452055,20.83287671
0,1.1,0,8.252054795,14.45753425,17.44109589
0,1.1,0,8.090410959,12.70136986,15.13972603
0,1.1,0,8.706849315,15.53150685,18.33150685
0,1.1,0,14.00547945,21.75890411,24.49863014
0,1.1,0,14.35890411,20.66027397,23.38082192
0,1.1,0,4.17260274,9.761643836,12.28767123
0,1.1,0,8.106849315,14.31232877,17.2
0,1.1,0,8.416438356,14.57260274,17.24109589
0,1.1,0,7.912328767,14.7369863,17.20273973
0,1.1,0,10.5260274,17.65479452,20.09315068
0,1.1,0,13.92876712,19.07671233,21.95616438
0,1.1,0,7.709589041,13.87123288,16.46027397
0,1.1,0,8.767123288,14.1369863,16.86027397
0,1.1,0,9.375342466,16.21643836,18.93424658
0,1.1,0,21.28767123,26.86849315,29.7890411
0,1.1,0,7.216438356,12.82191781,15.95890411
0,1.1,0,6.301369863,11.75342466,14.76712329
0,1.1,0,9.994520548,20.31506849,23.03013699
0,1.1,0,10.74520548,16.84931507,19.7369863
0,1.1,0,7.852054795,14.70410959,17.80273973
0,1.1,0.01,11.15616438,16.37534247,19.2630137
0,1.1,0.01,12.36986301,19.13972603,22.5260274
0,1.1,0.01,9.512328767,15.04109589,17.70684932
0,1.1,0.01,3.983561644,11.24931507,13.86849315
0,1.1,0.01,6.021917808,14.31506849,17.08493151
0,1.1,0.01,6.945205479,12.40821918,14.74794521
0,1.1,0.01,6.6,13.69589041,16.4630137
0,1.1,0.01,6.994520548,12.37808219,14.89315068
0,1.1,0.01,11.99452055,17.4739726,20.76164384
0,1.1,0.01,6.246575342,12.38630137,15.14246575
0,1.1,0.01,9.915068493,17.95068493,20.73972603
0,1.1,0.01,7.553424658,13.10410959,15.45753425
0,1.1,0.01,7.380821918,13.17808219,16.00547945
0,1.1,0.01,5.438356164,11.53150685,14.10410959
0,1.1,0.01,8.58630137,15.99452055,19.12054795
0,1.1,0.01,8.693150685,15.74520548,18.25479452
0,1.1,0.01,6.830136986,11.97808219,14.86027397
0,1.1,0.01,4.676712329,10.6630137,13.75890411
0,1.1,0.01,8.498630137,14.2739726,17.09315068
0,1.1,0.01,6.490410959,12.85479452,15.50958904
0,1.1,0.01,9.438356164,16.66575342,19.55342466
0,1.1,0.01,6.424657534,13.57260274,16.19452055
0,1.1,0.01,18.14246575,25.18356164,28.11506849
0,1.1,0.01,11.04383562,16.89863014,19.32328767
