"","PFPR","TREATMENT_COVERAGE","STARTING_PARTNER_DRUG_FREQ","rep","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_PARTNER_DRUG_RES_FREQ_TO_1p","TIME_PARTNER_DRUG_RES_FREQ_TO_5p","TIME_PARTNER_DRUG_RES_FREQ_TO_10p","TIME_PARTNER_DRUG_RES_FREQ_TO_20p","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5"
"2623",10,0.6,0.01,23,5.97260273972603,14.6849315068493,18.4657534246575,0.0547945205479436,3.67123287671233,5.80821917808219,8.19178082191781,8.6027397260274,16.4109589041096,4.780275,25,31,40,45,45
"2624",10,0.6,0.01,24,6.7945205479452,15.7534246575342,19.041095890411,0.136986301369863,6.95890410958904,8.84931506849315,11.3972602739726,11.7260273972603,17.972602739726,4.485175,32,33,41,38,40
"2625",10,0.6,0.01,25,7.86301369863014,15.5890410958904,18.6301369863014,0.0547945205479436,4.65753424657534,7.04109589041096,10,10.4109589041096,16.8219178082192,4.7278,23,42,50,41,40
"2626",10,0.6,0.01,26,6.21917808219178,13.041095890411,16.5753424657534,0.0547945205479436,3.67123287671233,5.56164383561644,8.43835616438356,8.6027397260274,15.3424657534247,5.08385,46,42,54,37,26
"2627",10,0.6,0.01,27,6.21917808219178,12.7945205479452,16.3287671232877,0.0547945205479436,3.83561643835617,5.80821917808219,7.86301369863014,8.43835616438356,14.5205479452055,5.074625,35,40,47,32,42
"2628",10,0.6,0.01,28,7.53424657534246,13.6986301369863,16.3287671232877,0.136986301369863,4.98630136986301,6.63013698630137,9.17808219178082,9.58904109589041,15.1780821917808,4.938125,37,38,49,35,36
"2629",10,0.6,0.01,29,7.12328767123288,14.7671232876712,17.972602739726,0.301369863013697,3.58904109589041,5.15068493150685,7.28767123287671,8.10958904109589,15.5068493150685,4.87455,29,50,50,42,47
"2630",10,0.6,0.01,30,4.08219178082192,12.3835616438356,16,0.0547945205479436,5.06849315068493,6.63013698630137,9.42465753424657,9.26027397260274,15.4246575342466,4.963225,42,44,45,45,40
"2631",10,0.6,0.01,31,5.80821917808219,14.1095890410959,16.986301369863,0.0547945205479436,4.41095890410959,6.3013698630137,9.26027397260274,9.42465753424657,15.1780821917808,4.788575,27,45,39,51,37
"2632",10,0.6,0.01,32,11.6438356164384,17.4794520547945,20.1917808219178,0.219178082191782,4.65753424657534,7.12328767123288,9.58904109589041,10,18.3835616438356,4.497625,37,43,42,39,32
