FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
2,0.5,7.00547945,12.7589041,15.5917808,4.08767123,14.7589041,174,222,193,211,220,24.5105,1474117
2,0.5,6.67123288,13.2575342,15.8438356,2.66849315,15.5917808,197,206,216,203,268,24.6683,1480534
2,0.5,3.58356164,11.4219178,14.0109589,2.91780822,14.0958904,204,217,210,232,237,24.8234,1463685
1,0,32.1068493,45,45,45,45,264,271,299,294,327,20.4465,1503421
1,0,23.1780822,36.3561644,45,45,45,277,252,293,311,285,20.3591,1515278
1,0,32.2712329,45,45,45,45,296,278,286,302,347,20.4691,1503788
1,0,13.7589041,36.6082192,45,45,45,268,288,321,302,311,20.4612,1519023
1,0,32.8575342,45,45,45,45,281,317,296,304,330,20.5113,1502668
1,0,18.9287671,45,45,45,45,262,260,319,305,315,20.5077,1508875
1,0,19.509589,45,45,45,45,310,308,318,308,341,20.5398,1525902
1,0,11.0082192,37.0273973,45,45,45,288,287,302,270,307,20.4993,1513078
1,0,33.109589,45,45,45,45,288,296,296,287,299,20.5681,1514204
1,0,45,45,45,45,45,283,304,294,283,281,20.6187,1518280
1,0,15.2575342,38.5232877,45,45,45,311,300,300,260,311,20.4946,1517480
1,0,18.5945205,34.690411,45,45,45,301,307,304,313,292,20.6193,1524148
1,0,12.6767123,30.1835616,38.9424658,45,45,261,316,280,307,335,20.627,1519748
1,0,20.5123288,45,45,45,45,260,293,324,298,343,20.4318,1505744
1,0,30.1068493,45,45,45,45,275,296,298,258,310,20.563,1512145
1,0,12.0082192,45,45,45,45,276,278,286,316,284,20.4949,1503598
1,0,8.50410959,38.6082192,45,45,45,273,266,291,308,328,20.5407,1501798
1,0,35.109589,45,45,45,45,261,285,300,303,302,20.5523,1520388
1,0,28.3506849,45,45,45,45,276,269,301,336,299,20.4414,1498224
1,0,45,45,45,45,45,283,275,321,291,284,20.4302,1507965
1,0.01,21.5972603,45,45,45,45,284,319,266,313,337,20.4824,1520711
1,0.01,23.2630137,45,45,45,45,282,290,261,307,339,20.4446,1504228
1,0.01,45,45,45,45,45,270,258,296,318,320,20.5518,1515158
1,0.01,11.6739726,29.5178082,37.6082192,45,45,272,305,293,306,298,20.5106,1505746
1,0.01,37.1890411,45,45,45,45,289,300,314,308,323,20.5224,1512081
1,0.01,39.1890411,45,45,45,45,293,274,325,299,350,20.4949,1498948
1,0.01,45,45,45,45,45,274,286,280,288,320,20.4759,1526333
1,0.01,10.8410959,26.8520548,31.5178082,32.690411,45,300,278,283,334,295,20.9769,1502724
1,0.01,14.4246575,31.4356164,38.6931507,45,45,278,288,300,296,308,20.5052,1519910
1,0.01,15.2575342,38.6931507,45,45,45,305,288,300,338,333,20.7038,1510124
1,0.01,30.5178082,45,45,45,45,277,303,281,294,293,20.5493,1505293
1,0.01,5.50136986,36.860274,45,45,45,273,308,285,326,313,20.5705,1514697
1,0.01,16.9287671,33.4383562,39.5232877,45,45,307,306,297,297,275,20.7223,1524546
1,0.01,45,45,45,45,45,260,274,331,281,285,20.5912,1510188
1,0.01,11.3369863,35.3534247,45,45,45,280,336,284,310,309,20.5021,1499891
1,0.01,16.0958904,34.939726,45,45,45,267,298,289,299,309,20.5322,1498870
1,0.01,25.7671233,33.690411,38.860274,45,45,275,275,322,300,331,20.754,1518041
1,0.01,33.8575342,45,45,45,45,298,277,303,315,313,20.5858,1509996
1,0.01,33.7726027,45,45,45,45,258,274,297,299,321,20.4947,1511257
1,0.01,11.169863,35.3534247,45,45,45,293,285,294,303,323,20.5637,1503717
1,0.1,8.84109589,26.6,31.5178082,32.1068493,45,255,259,269,268,309,20.8229,1494461
1,0.1,24.1013699,45,45,37.6931507,45,312,264,268,265,325,20.7216,1517397
1,0.1,6.33424658,17.0136986,22.0164384,21.6821918,45,271,279,270,297,304,21.3761,1487246
1,0.1,11.9232877,22.9315068,28.4356164,27.3479452,45,291,280,282,287,310,21.1557,1493767
1,0.1,22.5972603,31.3506849,35.8575342,31.4356164,45,285,266,272,310,279,20.8843,1498074
1,0.1,19.260274,34.109589,38.4410959,35.2712329,45,215,262,296,263,298,20.8705,1492518
1,0.1,19.9287671,32.1863014,37.9424658,31.5178082,45,257,300,265,280,315,20.8232,1488902
1,0.1,7.92054795,25.4328767,31.8547945,31.6027397,45,318,265,286,312,328,20.9745,1504551
1,0.1,3.91780822,17.260274,23.6821918,24.2657534,45,289,252,298,285,301,21.4315,1491323
1,0.1,9.16986301,31.2684932,37.0273973,31.4356164,45,267,273,284,286,295,20.8691,1497963
1,0.1,38.1123288,45,45,45,45,263,264,295,267,287,20.6874,1494269
1,0.1,6.25205479,19.6794521,24.7671233,24.1808219,45,257,261,277,288,313,21.3582,1494131
1,0.1,9.75616438,23.5123288,27.1041096,25.4328767,45,267,270,294,252,293,21.1474,1483000
1,0.1,8.00547945,23.1780822,30.5178082,30.1835616,45,266,271,282,316,326,21.1367,1512581
1,0.1,19.3424658,28.6876712,34.690411,30.8547945,45,283,266,277,275,334,20.9581,1507267
1,0.1,9.25479452,21.3452055,27.1808219,27.8520548,45,242,272,329,318,256,21.142,1505199
1,0.1,12.9260274,31.6027397,36.2739726,35.8575342,45,274,254,259,312,280,20.7421,1509359
1,0.1,14.9260274,21.430137,25.8520548,26.0191781,45,256,271,272,298,297,21.2119,1491382
1,0.1,15.4246575,27.9342466,32.7726027,31.6027397,45,281,272,269,280,293,20.9479,1509804
1,0.1,3.91780822,18.5945205,25.5150685,25.5150685,45,271,262,275,286,318,21.4204,1494228
1,0.25,3.00273973,19.4273973,25.3479452,21.5123288,45,233,284,251,249,279,21.3422,1495909
1,0.25,16.1753425,27.1041096,31.2684932,28.0191781,45,261,270,265,244,279,21.0036,1488494
1,0.25,13.8438356,22.2630137,27.8520548,22.1780822,45,252,282,257,279,300,21.4334,1507636
1,0.25,4.75342466,26.8520548,31.769863,27.9342466,45,277,241,268,261,282,21.0483,1486140
1,0.25,17.260274,30.6876712,35.8575342,27.9342466,45,227,240,241,258,252,21.1087,1503805
1,0.25,11.7561644,28.3506849,32.5205479,25.1808219,45,290,245,267,281,275,21.1705,1500708
1,0.25,10.0931507,23.9315068,29.9369863,26.5150685,45,250,248,306,283,291,21.0844,1504490
1,0.25,10.2547945,21.5123288,27.3479452,21.5972603,45,267,230,256,306,301,21.394,1493458
1,0.25,22.3452055,32.3534247,36.5232877,30.2684932,45,239,273,266,275,273,20.9101,1498540
1,0.25,4.67123288,20.0136986,25.0191781,20.8493151,45,237,269,273,266,288,21.426,1484622
1,0.25,7.16712329,17.7616438,25.4328767,22.0164384,45,260,256,288,284,269,21.4443,1490228
1,0.25,17.1753425,27.6849315,32.3534247,29.2684932,45,286,259,267,277,290,21.0011,1498068
1,0.25,6.09041096,21.0164384,24.3479452,23.0164384,45,244,285,248,233,294,21.4569,1499847
1,0.25,3.24931507,18.5945205,22.5123288,21.1013699,39.2739726,265,245,240,285,259,21.486,1492152
1,0.25,11.5041096,25.5150685,29.8547945,26.6,45,256,255,253,255,264,21.1789,1498183
1,0.25,11.4219178,23.430137,28.1041096,26.1808219,45,221,260,276,287,278,21.1144,1488564
1,0.25,11.0931507,23.1013699,28.5178082,24.6,45,252,263,274,248,277,21.3607,1500326
1,0.25,17.9287671,27.5150685,33.6054795,26.1041096,45,264,224,282,265,243,21.0359,1489364
1,0.25,11.4219178,23.1780822,26.8520548,25.7671233,45,275,283,273,297,304,21.3172,1502589
1,0.25,17.0136986,28.769863,34.5205479,27.4328767,45,276,255,248,268,278,20.9768,1502689
1,0.5,12.0931507,18.4273973,23.5972603,14.339726,45,233,247,229,234,218,21.5201,1484538
1,0.5,13.7589041,21.7643836,26.6,19.0986301,45,248,244,254,257,231,21.4237,1476942
1,0.5,21.1780822,27.1808219,32.0219178,21.2630137,45,228,231,200,240,256,21.2235,1481938
1,0.5,7.75342466,18.3424658,23.3452055,18.0136986,45,233,191,252,222,218,21.6069,1475680
1,0.5,15.2575342,26.1041096,31.2684932,22.8493151,45,233,213,237,221,230,21.2333,1483028
1,0.5,20.8493151,29.6027397,35.1863014,23.6821918,45,217,257,238,255,276,21.0667,1500006
1,0.5,5.75342466,14.1726027,18.5945205,16.6794521,34.1863014,249,254,239,261,248,21.8272,1483017
1,0.5,4.00273973,13.7589041,19.6794521,15.6767123,35.4383562,223,218,253,240,249,21.6888,1489834
1,0.5,8.5890411,17.6794521,21.430137,18.4273973,37.4410959,231,228,228,262,219,21.6533,1478188
1,0.5,9.92328767,21.3452055,25.0191781,21.9315068,45,241,220,252,234,228,21.3664,1489352
1,0.5,22.8493151,33.4383562,38.4410959,26.2657534,45,230,209,231,236,267,21.046,1500066
1,0.5,4.41917808,12.2575342,17.3424658,16.3424658,33.2712329,224,217,260,248,247,21.7387,1493609
1,0.5,14.0109589,27.4328767,30.9369863,19.8465753,45,211,249,222,260,203,21.2597,1496567
1,0.5,12.6767123,22.1013699,26.5150685,18.4273973,45,245,221,226,233,237,21.4057,1478820
1,0.5,8.09041096,19.0986301,24.5150685,19.5945205,39.1890411,238,232,228,251,252,21.495,1477634
1,0.5,7.67123288,18.0986301,22.5123288,20.5123288,45,241,229,219,257,231,21.4337,1492986
1,0.5,18.8465753,30.6027397,35.2712329,22.430137,45,220,239,230,240,218,21.0685,1492565
1,0.5,9.09315068,31.4356164,36.109589,24.6,45,230,265,225,257,279,21.1087,1485485
1,0.5,16.5945205,27.6849315,30.6876712,25.1808219,45,204,234,245,266,269,21.1161,1480709
1,0.5,6.50136986,19.9287671,24.1808219,20.0986301,45,216,236,292,271,250,21.5976,1496185
0,0,5.33424658,9.92328767,12.0931507,4.58630137,8.5890411,423,412,391,328,299,25.0206,1431315
0,0,4.75342466,6.92054795,8.75616438,5.00547945,7.92054795,345,353,369,346,305,25.3513,1423935
0,0,5.09041096,8.3369863,10.6739726,4.92054795,7.92054795,355,389,420,366,325,25.055,1439779
0,0,7.67123288,11.6739726,14.0109589,4.58630137,7.92054795,352,354,352,295,323,24.9294,1422790
