"FIRST_LINE","CLINICAL_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.85,0.01,4,16.3287671232877,25.6986301369863,0.712328767123289,34.1643835616438,33,26,36,36,33,1.093325,7.369275
2,0.85,0.01,5.56164383561644,15.9178082191781,24.4657534246575,0.0547945205479436,NA,38,44,42,47,44,0.986075,7.44875
2,0.85,0.01,6.95890410958904,24.7123287671233,34.1643835616438,0.63013698630137,NA,28,32,35,46,35,0.833375,7.21065
2,0.85,0.01,7.45205479452055,22.986301369863,29.3150684931507,1.78082191780822,NA,31,51,45,42,34,0.9229,7.479975
2,0.85,0.01,6.21917808219178,19.1232876712329,27.6712328767123,0.301369863013697,NA,40,42,36,45,37,0.9282,7.41045
2,0.85,0.01,9.01369863013699,21.5068493150685,29.2328767123288,0.383561643835616,NA,36,39,35,41,32,0.908475,7.26455
2,0.85,0.01,6.63013698630137,19.7808219178082,27.013698630137,1.12328767123288,NA,29,31,31,40,37,0.982225,7.302775
2,0.85,0.01,6.54794520547945,22.986301369863,32.5205479452055,1.2054794520548,NA,24,44,45,39,28,0.920025,7.45675
2,0.85,0.01,4.32876712328767,16.1643835616438,22.4109589041096,0.876712328767123,34.2465753424658,40,36,44,49,38,1.12225,7.4313
2,0.85,0.01,5.15068493150685,15.5068493150685,23.3150684931507,0.136986301369863,36.1369863013699,22,39,37,43,48,1.036425,7.4205
2,0.85,0.01,9.42465753424657,21.4246575342466,29.4794520547945,0.0547945205479436,NA,26,32,35,41,39,0.884075,7.275225
2,0.85,0.01,6.87671232876712,25.041095890411,31.9452054794521,1.12328767123288,NA,22,35,40,33,38,0.881925,7.325575
2,0.85,0.01,8.6027397260274,24.4657534246575,34,1.12328767123288,NA,38,44,27,40,35,0.87315,7.36725
2,0.85,0.01,6.54794520547945,22.8219178082192,33.5890410958904,0.383561643835616,NA,34,33,30,34,38,0.88565,7.2606
2,0.85,0.01,5.15068493150685,19.5342465753425,26.6849315068493,0.0547945205479436,33.5068493150685,45,31,44,46,35,1.036875,7.392625
2,0.85,0.01,4.73972602739726,19.2876712328767,25.7808219178082,0.383561643835616,37.8630136986301,63,54,53,59,57,0.9762,7.41025
2,0.85,0.01,5.80821917808219,22.9041095890411,30.4657534246575,0.876712328767123,NA,29,34,43,44,31,0.8903,7.29575
2,0.85,0.01,4.24657534246575,17.3150684931507,24.2191780821918,0.794520547945204,36.3013698630137,53,48,33,33,34,1.046725,7.395675
2,0.85,0.01,9.58904109589041,24.1369863013699,31.2876712328767,0.136986301369863,NA,36,33,34,39,45,0.87905,7.26455
2,0.85,0.01,7.28767123287671,24.2191780821918,31.041095890411,0.0547945205479436,NA,30,31,37,42,64,0.871625,7.318125
2,0.85,0.01,5.23287671232877,16.9041095890411,24.5479452054795,2.84931506849315,37.2876712328767,26,38,43,37,30,0.968675,7.26545
2,0.85,0.01,5.3972602739726,16.9041095890411,26.4383561643836,0.63013698630137,NA,44,48,42,39,39,0.954325,7.334375
2,0.85,0.01,5.89041095890411,19.9452054794521,27.4246575342466,0.0547945205479436,37.2054794520548,32,37,40,41,43,1.00335,7.348325
2,0.85,0.01,7.78082191780822,26.6849315068493,34.9041095890411,0.136986301369863,NA,41,53,53,42,48,0.854975,7.369925
2,0.85,0.01,4.41095890410959,21.2602739726027,29.5616438356164,0.0547945205479436,NA,29,34,38,46,35,0.90175,7.29635
2,0.85,0.01,6.13698630136986,21.0958904109589,31.1232876712329,2.19178082191781,NA,33,31,29,39,39,0.921675,7.490725
2,0.85,0.01,7.94520547945206,19.6986301369863,28.4931506849315,0.958904109589042,NA,50,52,53,47,42,0.88695,7.331
