"FIRST_LINE","INFECTION_DURATION_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,1.3,0.01,3.50684931506849,15.1780821917808,22.5753424657534,0.712328767123289,33.8356164383562,19,20,23,26,26,0.9871,6.67395
2,1.3,0.01,6.54794520547945,21.9178082191781,29.3972602739726,0.301369863013697,NA,22,21,30,31,32,0.846125,6.84935
2,1.3,0.01,6.3013698630137,17.7260273972603,24.1369863013699,1.94520547945206,37.3698630136986,23,26,35,25,17,0.89925,6.706125
2,1.3,0.01,3.34246575342466,16.986301369863,24.7123287671233,0.136986301369863,36.7945205479452,24,27,38,27,37,0.9415,6.910725
2,1.3,0.01,3.58904109589041,13.5342465753425,20.6849315068493,0.136986301369863,31.5342465753425,18,30,23,28,21,1.057075,6.655075
2,1.3,0.01,4.82191780821918,19.5342465753425,25.7808219178082,0.712328767123289,34.986301369863,25,37,22,22,29,0.92895,6.52995
2,1.3,0.01,5.06849315068493,16.3287671232877,22.0821917808219,2.19178082191781,33.7534246575342,21,32,34,27,25,1.0139,6.858175
2,1.3,0.01,6.54794520547945,23.3150684931507,30.0547945205479,0.136986301369863,NA,32,20,25,27,19,0.834675,6.74045
2,1.3,0.01,8.10958904109589,19.6164383561644,26.027397260274,0.383561643835616,33.8356164383562,24,32,17,21,27,0.983025,6.706775
2,1.3,0.01,4.98630136986301,20.7671232876712,28.6575342465753,0.0547945205479436,37.7808219178082,19,25,28,25,20,0.887775,6.9098
2,1.3,0.01,3.34246575342466,13.8630136986301,19.6986301369863,0.794520547945204,29.6438356164384,24,26,40,34,28,1.1157,6.772475
2,1.3,0.01,4.24657534246575,13.041095890411,19.9452054794521,0.301369863013697,35.7260273972603,19,26,24,23,25,1.003375,6.7237
2,1.3,0.01,5.3972602739726,22.986301369863,32.6027397260274,0.383561643835616,NA,28,18,20,31,27,0.769575,6.6035
2,1.3,0.01,7.86301369863014,19.5342465753425,27.7534246575342,0.547945205479451,33.9178082191781,27,20,16,23,32,0.956475,6.693475
