"FIRST_LINE","CR_MULTIPLY_FACTOR","STARTING_PARTNER_DRUG_FREQ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0.7,0.01,3.58904109589041,14.5205479452055,22.986301369863,0.219178082191782,31.9452054794521,47,29,53,58,47,1.43875,8.9837
2,0.7,0.01,7.45205479452055,20.2739726027397,28.4109589041096,0.0547945205479436,NA,44,36,41,45,47,1.1132,8.910725
2,0.7,0.01,6.7945205479452,21.3424657534247,29.7260273972603,0.712328767123289,NA,46,33,48,44,47,1.0876,8.981625
2,0.7,0.01,14.027397260274,25.8630136986301,33.013698630137,1.53424657534246,NA,33,30,47,38,33,1.123275,8.9751
2,0.7,0.01,7.6986301369863,21.7534246575342,29.0684931506849,0.465753424657535,36.8767123287671,35,32,37,43,37,1.180225,8.843175
2,0.7,0.01,4.9041095890411,16.9041095890411,25.5342465753425,0.794520547945204,34.0821917808219,31,40,46,26,39,1.338725,9.1872
2,0.7,0.01,8.27397260273973,18.958904109589,25.7808219178082,0.547945205479451,36.1369863013699,29,42,45,47,54,1.248775,9.039325
2,0.7,0.01,7.45205479452055,19.4520547945205,27.013698630137,2.76712328767123,34.3287671232877,32,39,38,36,40,1.292375,8.836725
2,0.8,0.01,5.15068493150685,22.2465753424658,29.3150684931507,0.383561643835616,35.5616438356164,41,38,48,43,36,1.226075,8.99595
2,0.8,0.01,6.46575342465754,17.3972602739726,23.3972602739726,0.958904109589042,32.6849315068493,27,33,38,45,34,1.280225,8.93345
2,0.8,0.01,3.91780821917808,19.2054794520548,27.2602739726027,0.794520547945204,38.027397260274,41,58,58,49,66,1.21525,8.86475
2,0.8,0.01,7.12328767123288,21.0958904109589,28.986301369863,1.04109589041096,37.2876712328767,31,45,51,48,32,1.18965,8.957875
2,0.8,0.01,10.0821917808219,25.2054794520548,32.2739726027397,0.0547945205479436,38.027397260274,33,39,33,35,51,1.13945,8.833325
2,0.8,0.01,5.72602739726027,19.4520547945205,27.013698630137,0.0547945205479436,37.9452054794521,25,43,35,40,38,1.216525,8.900775
2,0.8,0.01,6.63013698630137,20.6027397260274,29.5616438356164,2.27397260273973,NA,29,35,31,33,38,1.1332,8.979725
2,0.8,0.01,5.47945205479452,21.8356164383562,28.5753424657534,1.94520547945206,37.8630136986301,44,43,30,46,50,1.235625,9.057225
2,0.8,0.01,3.26027397260274,17.8904109589041,25.6164383561644,0.794520547945204,34.8219178082192,58,51,49,49,53,1.2965,8.93265
2,0.8,0.01,8.43835616438356,23.2328767123288,30.0547945205479,0.0547945205479436,39.2602739726027,42,55,34,51,25,1.124525,9.01305
2,0.8,0.01,5.31506849315069,17.1506849315069,24.2191780821918,0.0547945205479436,32.1095890410959,33,29,33,47,31,1.34555,8.965475
2,0.8,0.01,5.80821917808219,14.9315068493151,23.0684931506849,1.45205479452055,33.1780821917808,31,49,40,36,41,1.28665,8.828525
2,0.8,0.01,6.63013698630137,17.4794520547945,23.8904109589041,1.6986301369863,37.3698630136986,39,38,44,39,37,1.214075,8.9713
2,0.8,0.01,6.71232876712329,21.4246575342466,28.986301369863,0.547945205479451,37.5342465753425,38,51,44,34,38,1.17895,8.86975
2,0.8,0.01,4.65753424657534,17.3150684931507,25.6164383561644,0.301369863013697,36.7123287671233,31,38,36,48,35,1.222475,8.8001
2,0.8,0.01,6.05479452054794,18.0547945205479,27.1780821917808,0.219178082191782,36.6301369863014,39,40,43,56,36,1.2406,8.8597
2,0.8,0.01,4.49315068493151,19.041095890411,25.1232876712329,0.383561643835616,34.4931506849315,32,39,35,51,53,1.3609,9.031175
2,0.8,0.01,6.21917808219178,15.6712328767123,22.4931506849315,0.876712328767123,35.8904109589041,43,30,40,35,39,1.285,8.848175
2,0.8,0.01,8.27397260273973,19.5342465753425,27.2602739726027,0.547945205479451,37.1232876712329,41,28,43,50,37,1.20185,8.7757
2,0.8,0.01,5.47945205479452,16.4931506849315,23.3150684931507,2.19178082191781,34.4931506849315,31,40,40,48,41,1.35345,9.087225
2,0.8,0.01,5.89041095890411,17.3972602739726,24.7123287671233,0.0547945205479436,35.7260273972603,33,44,37,45,39,1.222175,8.812975
2,0.8,0.01,5.56164383561644,15.5890410958904,23.4794520547945,0.712328767123289,33.7534246575342,38,28,48,36,49,1.305225,9.063975
2,0.8,0.01,5.56164383561644,17.972602739726,24.7123287671233,1.2054794520548,37.6164383561644,35,34,34,29,33,1.20495,8.890875
2,0.8,0.01,4.73972602739726,19.5342465753425,26.1917808219178,0.301369863013697,37.8630136986301,38,41,34,45,45,1.2078,8.8679
2,0.8,0.01,4.16438356164383,17.2328767123288,23.4794520547945,0.958904109589042,34.6575342465753,29,51,29,37,33,1.3561,8.89465
2,0.8,0.01,5.80821917808219,19.1232876712329,25.5342465753425,1.2054794520548,33.013698630137,36,49,39,47,41,1.30825,9.055525
2,0.8,0.01,6.7945205479452,20.1095890410959,27.5890410958904,1.94520547945206,36.0547945205479,26,44,49,44,42,1.231275,9.07265
2,0.8,0.01,7.28767123287671,21.013698630137,29.3150684931507,0.547945205479451,38.3561643835616,39,35,62,37,36,1.172425,8.8947
2,0.8,0.01,6.7945205479452,20.1095890410959,27.6712328767123,0.219178082191782,36.1369863013699,35,44,37,32,36,1.144775,8.873975
2,0.8,0.01,6.3013698630137,18.7945205479452,26.4383561643836,0.876712328767123,37.5342465753425,33,49,40,45,48,1.211375,8.989825
2,0.8,0.01,6.87671232876712,25.041095890411,33.7534246575342,0.63013698630137,NA,35,34,43,35,34,1.033725,8.967175
2,0.8,0.01,4.57534246575343,16.5753424657534,23.4794520547945,0.794520547945204,34.5753424657534,28,36,33,43,30,1.369825,8.9248
2,0.8,0.01,6.05479452054794,17.7260273972603,25.4520547945205,2.43835616438356,35.972602739726,42,33,43,57,35,1.24235,8.94585
2,0.8,0.01,7.45205479452055,19.6164383561644,27.3424657534247,0.465753424657535,35.7260273972603,30,44,37,42,33,1.24945,8.8053
2,0.8,0.01,5.23287671232877,18.2191780821918,25.041095890411,1.36986301369863,35.5616438356164,45,49,46,56,41,1.252175,8.853925
2,0.8,0.01,7.36986301369863,19.2876712328767,26.2739726027397,0.794520547945204,38.5205479452055,35,34,47,47,50,1.199075,9.020925
2,0.8,0.01,10.1643835616438,21.013698630137,26.6849315068493,1.6986301369863,35.3972602739726,48,61,60,61,50,1.23535,8.8418
2,0.8,0.01,5.72602739726027,18.3013698630137,26.1095890410959,0.0547945205479436,33.7534246575342,37,33,35,39,30,1.27505,8.89325
2,0.8,0.01,7.61643835616438,21.1780821917808,27.1780821917808,0.383561643835616,35.7260273972603,31,40,42,48,40,1.24705,8.9606
2,0.8,0.01,10.3287671232877,22.2465753424658,30.2191780821918,0.958904109589042,36.0547945205479,24,38,39,40,23,1.1643,8.85185
2,0.8,0.01,5.64383561643836,19.4520547945205,25.6164383561644,0.301369863013697,35.6438356164384,43,43,47,41,36,1.290425,9.068725
2,0.8,0.01,12.1369863013699,25.7808219178082,32.9315068493151,2.27397260273973,NA,34,31,27,37,38,1.0336,8.887975
2,0.8,0.01,4.32876712328767,15.013698630137,22.4109589041096,0.547945205479451,32.1095890410959,31,52,42,50,45,1.41525,8.972725
2,0.8,0.01,4.16438356164383,17.8082191780822,24.5479452054795,1.12328767123288,34.4109589041096,38,34,53,67,47,1.27405,8.9176
2,0.8,0.01,5.97260273972603,17.0684931506849,24.7123287671233,1.78082191780822,30.7123287671233,35,36,30,57,32,1.322325,8.811175
2,0.8,0.01,5.72602739726027,21.0958904109589,28.6575342465753,1.04109589041096,37.8630136986301,35,43,34,41,40,1.1965,8.906225
2,0.8,0.01,8.93150684931507,22.8219178082192,28.8219178082192,0.0547945205479436,36.8767123287671,31,46,39,40,41,1.241925,8.92385
2,0.8,0.01,8.10958904109589,23.3972602739726,31.041095890411,0.0547945205479436,38.7671232876712,33,64,50,54,43,1.093275,8.88525
2,0.8,0.01,4.73972602739726,15.5068493150685,23.4794520547945,0.794520547945204,36.7945205479452,30,35,35,47,42,1.284675,9.090175
2,0.8,0.01,7.04109589041096,19.6164383561644,27.2602739726027,0.136986301369863,36.3013698630137,32,38,45,49,55,1.18745,8.9754
2,0.9,0.01,3.67123287671233,13.9452054794521,21.013698630137,1.04109589041096,31.2054794520548,40,43,37,44,55,1.404575,8.854225
2,0.9,0.01,6.13698630136986,15.7534246575342,22.2465753424658,0.301369863013697,31.4520547945205,34,42,37,49,32,1.3704,8.888375
2,0.9,0.01,5.56164383561644,18.5479452054795,25.6164383561644,2.76712328767123,35.3150684931507,38,37,34,41,31,1.24305,8.753125
2,0.9,0.01,5.56164383561644,14.4383561643836,22.7397260273973,1.04109589041096,33.5068493150685,45,32,34,39,47,1.3516,8.93785
2,0.9,0.01,5.80821917808219,19.6986301369863,26.9315068493151,0.0547945205479436,37.041095890411,31,54,35,39,34,1.20365,8.793775
2,0.9,0.01,6.05479452054794,18.7123287671233,26.3561643835616,0.876712328767123,36.958904109589,33,36,53,44,28,1.246275,9.015725
2,0.9,0.01,7.94520547945206,17.8904109589041,24.6301369863014,0.136986301369863,34,38,44,45,38,50,1.295675,9.080575
2,0.9,0.01,7.61643835616438,21.5890410958904,28.986301369863,2.19178082191781,38.6027397260274,37,28,31,45,42,1.11935,8.96935
2,0.9,0.01,5.56164383561644,16.6575342465753,24.3835616438356,0.0547945205479436,36.1369863013699,53,51,41,54,54,1.282975,8.92315
2,0.9,0.01,5.72602739726027,18.3835616438356,25.7808219178082,0.301369863013697,36.6301369863014,34,37,33,37,42,1.230475,8.853775
2,0.9,0.01,14.1095890410959,26.5205479452055,32.6027397260274,0.136986301369863,39.4246575342466,38,37,48,54,44,1.131825,9.0758
2,0.9,0.01,3.17808219178082,15.4246575342466,23.2328767123288,0.63013698630137,37.8630136986301,46,51,36,32,25,1.199425,8.80395
2,0.9,0.01,4.08219178082192,14.6849315068493,23.5616438356164,0.465753424657535,36.1369863013699,44,45,58,48,52,1.268,8.83955
2,0.9,0.01,4.32876712328767,15.3424657534247,22.1643835616438,0.958904109589042,37.6986301369863,34,48,36,43,31,1.266625,9.0009
