FIRST_LINE,STARTING_PARTNER_DRUG_FREQ,TIME_TO_1p_580Y,TIME_TO_10p_580Y,TIME_TO_25p_580Y,TIME_TO_10p_TF,TIME_TO_25p_TF,NUMBER_OF_MUTATION_EVENTS_1,NUMBER_OF_MUTATION_EVENTS_2,NUMBER_OF_MUTATION_EVENTS_3,NUMBER_OF_MUTATION_EVENTS_4,NUMBER_OF_MUTATION_EVENTS_5,NUMBER_OF_TREATMENT_FAILURES,NUMBER_OF_TREATMENTS
1,0.25,10.0931507,17.5945205,20.5123288,11.6739726,24.2657534,271,254,304,287,311,22.6155,1477727
1,0.25,6.00547945,12.5068493,16.1753425,10.169863,20.0136986,281,269,309,299,277,22.7551,1460705
1,0.25,9.42191781,16.4273973,19.1753425,11.5890411,23.6821918,271,273,286,294,317,22.4194,1471905
1,0.25,14.5917808,20.5972603,23.5972603,10.4219178,27.4328767,259,263,289,306,277,22.2574,1457458
1,0.25,5.92054795,13.6767123,16.0109589,8.42191781,20.0986301,253,247,265,261,269,22.7733,1461213
1,0.25,12.4246575,20.2630137,23.6821918,8.09041096,26.6849315,261,253,271,293,275,22.441,1479355
1,0.25,8.75616438,14.6767123,18.4273973,10.9232877,23.0164384,256,290,286,282,280,22.4438,1461959
1,0.25,5.16712329,12.8438356,16.260274,10.9232877,20.8493151,246,294,294,291,287,22.7137,1465373
1,0.25,18.0136986,26.1808219,29.4356164,11.0082192,32.4383562,294,270,268,289,258,21.8722,1473813
1,0.25,7.58630137,15.0958904,18.0136986,11.0082192,22.1780822,274,269,296,285,286,22.7554,1464627
1,0.25,4.58630137,12.0082192,15.339726,9.25479452,19.9287671,254,261,300,309,337,22.7538,1480490
1,0.25,4.25205479,10.4219178,13.1726027,7.25205479,16.4273973,240,269,225,262,309,23.1302,1476608
1,0.25,9.42191781,17.509589,20.0986301,13.1726027,23.6821918,265,304,316,305,298,22.5181,1481293
1,0.25,5.09041096,11.7561644,14.8438356,8.92328767,19.5945205,266,278,275,290,262,22.9039,1470809
1,0.25,9.92328767,17.0986301,20.6821918,12.0082192,25.4328767,281,271,289,309,309,22.4413,1487964
1,0.25,7.00547945,14.0958904,17.1753425,9.50410959,21.3452055,249,257,305,271,282,22.6696,1459802
1,0.25,6.83835616,13.1726027,16.0958904,10.9232877,20.1780822,240,270,257,277,313,22.6549,1462388
1,0.25,4.00273973,12.0931507,15.2575342,9.5890411,19.4273973,266,286,226,296,305,22.7827,1465460
1,0.25,7.83835616,11.169863,14.5917808,7.33424658,18.260274,269,264,284,284,295,23.0496,1475404
1,0.25,9.75616438,17.1753425,20.2630137,10.2547945,23.3452055,258,272,263,314,331,22.5525,1464740
1,0.5,8.25479452,13.2575342,16.0109589,8.42191781,19.7616438,262,246,252,245,268,22.8282,1461786
1,0.5,7.92054795,14.1726027,17.6794521,8.00547945,20.8493151,238,277,253,245,259,22.8722,1485358
1,0.5,5.75342466,13.339726,17.4273973,6.09041096,21.1013699,286,268,233,279,236,22.7885,1459603
1,0.5,3.24931507,7.41917808,9.92328767,4.83835616,13.9260274,244,273,245,270,303,23.3575,1460478
1,0.5,9.3369863,17.9287671,20.430137,8.3369863,25.1041096,258,243,255,250,250,22.4717,1478762
1,0.5,7.25205479,11.5041096,14.7589041,5.50136986,17.9287671,219,216,232,246,253,23.0228,1452607
1,0.5,7.92054795,12.1726027,15.8438356,8.5890411,20.5123288,235,240,237,257,257,22.9929,1479294
1,0.5,8.75616438,15.4246575,18.6794521,7.92054795,22.0164384,227,272,253,221,267,22.6729,1459073
1,0.5,4.83835616,9.25479452,12.1726027,6.41917808,16.4273973,271,259,265,261,243,23.0591,1460449
1,0.5,5.33424658,10.8410959,13.6767123,5.00547945,17.8465753,252,240,253,282,259,23.1505,1465090
1,0.5,4.33424658,9.92328767,12.6767123,6.16712329,17.1753425,250,240,243,242,252,23.0296,1468618
1,0.5,9.84109589,15.5068493,17.8465753,8.25479452,21.3452055,236,243,250,228,251,22.7498,1464069
1,0.5,12.2575342,17.5945205,21.3452055,5.92054795,24.1808219,238,251,247,273,291,22.6115,1468915
1,0.5,8.3369863,14.6767123,17.9287671,6.25205479,21.0164384,249,226,239,225,248,22.9717,1487852
1,0.5,2.41643836,6.41917808,9.25479452,4.67123288,12.8438356,224,235,231,246,254,23.3,1471476
1,0.5,5.75342466,15.1726027,18.0136986,8.09041096,21.5972603,259,268,234,275,268,22.7636,1467037
1,0.5,7.41917808,13.0109589,16.1753425,6.09041096,19.7616438,280,276,243,257,275,22.8128,1462378
1,0.5,7.41917808,13.9260274,16.8465753,5.92054795,20.0136986,215,244,253,247,259,22.8979,1463708
1,0.5,4.25205479,7.83835616,10.6739726,6.09041096,15.339726,245,227,247,259,244,23.1072,1451192
1,0.5,8.42191781,17.509589,20.9315068,8.00547945,23.7643836,232,216,241,262,265,22.7203,1478916
0,0,14.6767123,20.6821918,23.430137,10.169863,25.6,423,395,398,451,446,21.748,1436527
0,0,5.83835616,11.169863,13.5068493,7.83835616,15.6767123,435,418,438,410,407,22.4611,1431101
0,0,6.16712329,10.6739726,13.0109589,8.84109589,16.5945205,433,396,407,376,372,22.3083,1434058
0,0,12.4246575,18.3424658,21.7643836,10.4219178,24.0164384,396,433,418,428,407,21.7793,1428748
0,0,10.4219178,17.1753425,20.5972603,10.169863,23.1013699,407,431,430,412,436,21.9614,1431366
0,0,13.339726,19.6794521,22.9315068,9.84109589,25.2657534,399,440,392,415,387,21.7858,1425604
0,0,10.9232877,15.5917808,18.0986301,9.09315068,20.3452055,434,428,480,436,420,22.0531,1438477
0,0,13.9260274,18.8465753,21.5972603,9.42191781,24.9342466,429,400,415,448,405,21.9524,1438514
0,0,13.0109589,18.3424658,21.6821918,10.0931507,23.6821918,411,429,426,396,426,21.8284,1437292
0,0,13.6767123,19.260274,21.9315068,8.75616438,24.1808219,407,440,429,374,420,21.931,1438245
0,0,11.3369863,21.0164384,23.9315068,9.50410959,26.1808219,414,435,465,453,382,21.7526,1438132
0,0,9.92328767,15.0958904,17.9287671,9.6739726,20.7643836,421,426,386,415,452,22.2291,1440274
0,0,8.75616438,15.9260274,18.1753425,8.25479452,20.6821918,459,401,423,411,425,22.1862,1440238
0,0,6.16712329,11.6739726,13.9260274,8.42191781,16.260274,407,420,429,419,416,22.3495,1429581
0,0,8.25479452,16.1753425,18.6794521,9.3369863,21.5972603,423,394,415,398,423,22.2017,1438610
0,0,4.75342466,10.5041096,13.0958904,8.42191781,16.0109589,423,446,445,361,369,22.4057,1428435
0,0,16.260274,23.9315068,26.6,9.50410959,29.0219178,460,457,460,395,406,21.5817,1447275
0,0,5.41917808,9.50410959,12.5917808,9.09315068,15.0958904,426,429,435,401,412,22.3392,1433149
0,0,7.83835616,13.9260274,16.9287671,8.92328767,19.9287671,429,419,391,445,403,22.1146,1436949
0,0,7.83835616,10.7561644,13.0958904,9.00821918,15.9260274,413,420,431,392,418,22.4921,1438624
0,0.01,5.83835616,10.4219178,13.7589041,9.09315068,16.3424658,434,441,434,389,445,22.4163,1441124
