"FIRST_LINE","STARTING_PARTNER_DRUG_FREQ","SPZ","TIME_TO_1p_580Y","TIME_TO_10p_580Y","TIME_TO_25p_580Y","TIME_TO_10p_TF","TIME_TO_25p_TF","NUMBER_OF_MUTATION_EVENTS_1","NUMBER_OF_MUTATION_EVENTS_2","NUMBER_OF_MUTATION_EVENTS_3","NUMBER_OF_MUTATION_EVENTS_4","NUMBER_OF_MUTATION_EVENTS_5","NUMBER_OF_TREATMENT_FAILURES","NUMBER_OF_TREATMENTS"
2,0,0.01,4.41095890410959,16.9041095890411,26.6027397260274,0.301369863013697,NA,45,34,41,47,42,1.1293,8.818225
2,0,0.01,4.73972602739726,14.5205479452055,21.7534246575342,1.6986301369863,34.7397260273973,39,27,38,35,37,1.322675,8.87775
2,0,0.01,3.01369863013699,12.4657534246575,20.6849315068493,1.2054794520548,35.0684931506849,37,43,39,59,35,1.3189,8.771575
2,0,0.01,6.54794520547945,21.5890410958904,29.8082191780822,0.63013698630137,39.1780821917808,29,35,29,40,41,1.12735,8.947525
2,0,0.01,5.15068493150685,15.5890410958904,22.5753424657534,0.465753424657535,37.3698630136986,36,40,33,33,32,1.216825,8.95365
2,0,0.01,6.38356164383562,13.2054794520548,20.8493150684931,0.301369863013697,32.9315068493151,43,30,41,42,48,1.335225,8.9805
2,0,0.01,6.46575342465754,20.1095890410959,27.4246575342466,0.301369863013697,39.7534246575342,40,42,40,43,39,1.107275,8.83275
2,0,0.01,5.06849315068493,14.027397260274,24.3835616438356,1.04109589041096,39.0958904109589,29,30,25,61,39,1.1671,8.7909
2,0,0.01,5.47945205479452,18.958904109589,27.0958904109589,0.876712328767123,36.958904109589,42,42,35,42,45,1.1836,8.967425
2,0,0.01,4.08219178082192,16.2465753424658,23.3972602739726,0.136986301369863,38.5205479452055,36,41,47,53,39,1.185025,8.830575
2,0,0.01,6.7945205479452,19.6986301369863,26.8493150684931,0.712328767123289,NA,28,30,43,47,32,1.13455,9.006325
2,0,0.01,4.73972602739726,16.2465753424658,24.958904109589,0.136986301369863,38.4383561643836,37,40,42,39,44,1.20755,8.85095
2,0,0.01,3.34246575342466,14.6027397260274,21.7534246575342,0.0547945205479436,36.2191780821918,42,51,50,56,46,1.2194,8.778075
2,0,0.01,3.75342465753425,15.013698630137,22.6575342465753,2.02739726027397,36.5479452054795,36,41,39,51,48,1.291225,8.998075
2,0,0.01,4.57534246575343,20.9315068493151,28.4931506849315,2.52054794520548,NA,28,47,44,47,31,1.03215,8.832175
2,0,0.01,3.91780821917808,15.3424657534247,21.2602739726027,1.94520547945206,36.2191780821918,37,45,34,43,46,1.2538,8.81045
2,0,0.01,5.3972602739726,15.5890410958904,22.986301369863,0.383561643835616,NA,37,25,42,38,44,1.21105,8.974625
2,0,0.01,3.91780821917808,20.1095890410959,27.3424657534247,2.52054794520548,NA,28,38,37,42,34,1.087,8.77515
2,0,0.01,6.13698630136986,16.4931506849315,24.7123287671233,1.78082191780822,39.5068493150685,36,43,35,46,35,1.16255,8.918925
2,0,0.01,4.08219178082192,15.5890410958904,24.5479452054795,0.0547945205479436,39.1780821917808,38,50,44,41,29,1.22385,9.05535
2,0,0.01,5.15068493150685,16.986301369863,26.027397260274,0.63013698630137,39.5068493150685,34,34,39,40,30,1.175725,9.0777
2,0,0.01,4.57534246575343,16.4109589041096,23.8082191780822,1.6986301369863,35.5616438356164,53,53,54,58,54,1.2135,8.871575
